Service Name,Retail Price,Duration,Extra Time,Tax,Description,Category Name,Treatment Type,Resource,Online Booking,Available For,Voucher Sales,Commissions,Service ID
Micro-needling - Stretch mark reduction - 1st treatment inc homecare kit,280.00,30m,15m blocked time after,Default per location,,Aesthetic treatments,Microneedling,Required,Enabled,Everyone,Disabled,Enabled,"7,103,932"
Micro-needling - for Scar reduction - follow up treatments,180.00,30m,15m blocked time after,Default per location,,Aesthetic treatments,Microneedling,Required,Enabled,Everyone,Disabled,Enabled,"11,663,443"
Micro-needling - for Scar reduction - 1st treatment-inc homecare kit,280.00,30m,15m blocked time after,Default per location,,Aesthetic treatments,Microneedling,Required,Enabled,Everyone,Disabled,Enabled,"11,663,443"
Micro-needling - For Hyperpigmentation - Follow on treatment,180.00,30m,15m blocked time after,Default per location,,Aesthetic treatments,Microneedling,Required,Enabled,Everyone,Disabled,Enabled,"11,659,158"
Micro-needling - For Hyperpigmentation - 1st treatment inc homecare kit,280.00,30m,15m blocked time after,Default per location,,Aesthetic treatments,Microneedling,Required,Enabled,Everyone,Disabled,Enabled,"11,659,158"
Age Spot/Solar Lentigo Removal - consultation & test treatment - Consultation & test treatment,45.00,30m,15m blocked time after,Default per location,"Lentigo is also known as Liver or Age Spots and are associated with older skin. They usually appear on the back of the hands, neck and face and their primary cause is exposure to the sun over many years.

They are caused by an accumulation of a yellow pigment called lipofuscin in the connective tissue of the body and are completely harmless.",Advanced Cosmetic Procedures,Skin Consultation,Required,Enabled,Everyone,Disabled,Enabled,"11,717,108"
Age Spot/Solar Lentigo Removal - 15 minute follow up treatment,60.00,15m,15m blocked time after,Default per location,"Lentigo is also known as Liver or Age Spots and are associated with older skin. They usually appear on the back of the hands, neck and face and their primary cause is exposure to the sun over many years.

They are caused by an accumulation of a yellow pigment called lipofuscin in the connective tissue of the body and are completely harmless.",Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"11,717,119"
Age Spot/Solar Lentigo Removal - 30 minute follow up treatment,100.00,30m,15m blocked time after,Default per location,"Lentigo is also known as Liver or Age Spots and are associated with older skin. They usually appear on the back of the hands, neck and face and their primary cause is exposure to the sun over many years.

They are caused by an accumulation of a yellow pigment called lipofuscin in the connective tissue of the body and are completely harmless.",Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"11,717,119"
Age Spot/Solar Lentigo Removal - 1st treatment,150.00,30m,15m blocked time after,Default per location,"Lentigo is also known as Liver or Age Spots and are associated with older skin. They usually appear on the back of the hands, neck and face and their primary cause is exposure to the sun over many years.

They are caused by an accumulation of a yellow pigment called lipofuscin in the connective tissue of the body and are completely harmless.",Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"11,717,119"
Cherry Angioma removal - consultation & test treatment,45.00,30m,15m blocked time after,Default per location,"Also known as Campbell De Morgan or blood spots, can develop at any age but can become more common as we age.  They can appear anywhere on the body and can range in size and quantity from one to many. 

Whilst you need to have a consultation and test treatment prior to receiving a full treatment, if you have less than three areas of treatment this may become a full removal appointment for which you will be charged the full cost of the first appointment of £130.",Advanced Cosmetic Procedures,Skin Consultation,Required,Enabled,Everyone,Disabled,Enabled,"11,663,831"
Cherry Angioma removal - 15 minute follow up,50.00,15m,15m blocked time after,Default per location,"Also known as Campbell De Morgan or blood spots, can develop at any age but can become more common as we age.  They can appear anywhere on the body and can range in size and quantity from one to many.",Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"9,402,264"
Cherry Angioma removal - 30 minute follow up,90.00,30m,15m blocked time after,Default per location,"Also known as Campbell De Morgan or blood spots, can develop at any age but can become more common as we age.  They can appear anywhere on the body and can range in size and quantity from one to many.",Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"9,402,264"
Cherry Angioma removal - 1st treatment,130.00,30m,15m blocked time after,Default per location,"Also known as Campbell De Morgan or blood spots, can develop at any age but can become more common as we age.  They can appear anywhere on the body and can range in size and quantity from one to many.",Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"9,402,264"
Cyst Removal - consultation & test treatment - Consultation & test treatment,45.00,30m,15m blocked time after,Default per location,"We can treat epidermoid, sebaceous and pilar cysts.",Advanced Cosmetic Procedures,Skin Consultation,Required,Enabled,Everyone,Disabled,Enabled,"11,717,281"
Cyst Removal - 15 minute follow up treatment,60.00,15m,15m blocked time after,Default per location,"We can treat epidermoid, sebaceous and pilar cysts.",Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"11,717,315"
Cyst Removal - 30 minute follow up treatment,100.00,30m,15m blocked time after,Default per location,"We can treat epidermoid, sebaceous and pilar cysts.",Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"11,717,315"
Cyst Removal - 1st treatment,150.00,30m,15m blocked time after,Default per location,"We can treat epidermoid, sebaceous and pilar cysts.",Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"11,717,315"
Dermatosis Papulosa Nigra Removal - consultation & test treatment - Consultation & test treatment,45.00,30m,15m blocked time after,Default per location,"Dermatosis Papulosa Nigra (DPN) is a common disorder which develops in adolescence on Black, Asian and Olive skin types and is identified by smooth, dome shaped dark lesions, seen mainly on the cheeks and forehead.",Advanced Cosmetic Procedures,Skin Consultation,Required,Enabled,Everyone,Disabled,Enabled,"11,706,992"
Dermatosis Papulosa Nigra Removal - 15 minute follow up treatment,60.00,15m,15m blocked time after,Default per location,"Dermatosis Papulosa Nigra (DPN) is a common disorder which develops in adolescence on Black, Asian and Olive skin types and is identified by smooth, dome shaped dark lesions, seen mainly on the cheeks and forehead.",Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"11,659,420"
Dermatosis Papulosa Nigra Removal - 30 minute follow up treatment,100.00,30m,15m blocked time after,Default per location,"Dermatosis Papulosa Nigra (DPN) is a common disorder which develops in adolescence on Black, Asian and Olive skin types and is identified by smooth, dome shaped dark lesions, seen mainly on the cheeks and forehead.",Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"11,659,420"
Dermatosis Papulosa Nigra Removal - 1st treatment,150.00,30m,15m blocked time after,Default per location,"Dermatosis Papulosa Nigra (DPN) is a common disorder which develops in adolescence on Black, Asian and Olive skin types and is identified by smooth, dome shaped dark lesions, seen mainly on the cheeks and forehead.",Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"11,659,420"
Filiform Wart removal  - consultation & test treatment,45.00,30m,15m blocked time after,Default per location,,Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"12,288,595"
Filiform Wart removal  - 15 minute follow up treatment,60.00,15m,15m blocked time after,Default per location,,Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"12,288,635"
Filiform Wart removal  - 30 minute follow up treatment,100.00,30m,15m blocked time after,Default per location,,Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"12,288,635"
Filiform Wart removal  - 1st treatment,150.00,30m,15m blocked time after,Default per location,,Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"12,288,635"
Hairs in mole removal** - consultation & test treatment,45.00,30m,15m blocked time after,Default per location,"** Prior medical consent is needed for this treatment. 
 It is a legal and insurance requirement that all treatment areas are assessed by your GP and our consent forms signed prior to treatment.

If you have not requested the forms please return to our website here; 

http://labellejolie.com/advanced-cosmetic-procedures.html

and fill out the request form at the bottom of the page.",Advanced Cosmetic Procedures,Skin Consultation,Required,Enabled,Everyone,Disabled,Enabled,"11,664,025"
Hairs in moles removal** - 15 minute follow up,60.00,15m,15m blocked time after,Default per location,"** Prior medical consent is needed for this treatment. 
 It is a legal and insurance requirement that all treatment areas are assessed by your GP and our consent forms signed prior to treatment.

If you have not requested the forms please return to our website here; 

http://labellejolie.com/advanced-cosmetic-procedures.html

and fill out the request form at the bottom of the page.",Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"9,402,353"
Hairs in moles removal** - 30 minute follow up,100.00,30m,15m blocked time after,Default per location,"** Prior medical consent is needed for this treatment. 
 It is a legal and insurance requirement that all treatment areas are assessed by your GP and our consent forms signed prior to treatment.

If you have not requested the forms please return to our website here; 

http://labellejolie.com/advanced-cosmetic-procedures.html

and fill out the request form at the bottom of the page.",Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"9,402,353"
Hairs in moles removal** - 1st treatment,150.00,30m,15m blocked time after,Default per location,"** Prior medical consent is needed for this treatment. 
 It is a legal and insurance requirement that all treatment areas are assessed by your GP and our consent forms signed prior to treatment.

If you have not requested the forms please return to our website here; 

http://labellejolie.com/advanced-cosmetic-procedures.html

and fill out the request form at the bottom of the page.",Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"9,402,353"
Milia removal - consultation & test treatment,45.00,30m,15m blocked time after,Default per location,"Sometimes referred to as ""whiteheads"" you should never attempt removal of these at home or allow anyone to pop them with a pin or needle, or burst them, due to the high risk of trauma and damage to the skin.  The only safe way to remove milia is with advanced electrolysis techniques.

Whilst you need to have a consultation and test treatment prior to receiving a full treatment, if you have less than three areas of treatment this may become a full removal appointment for which you will be charged the full cost of the first appointment of £130.",Advanced Cosmetic Procedures,Skin Consultation,Required,Enabled,Everyone,Disabled,Enabled,"11,663,855"
Milia removal - 15 minute follow up,50.00,15m,15m blocked time after,Default per location,"Sometimes referred to as ""whiteheads"" you should never attempt removal of these at home or allow anyone to pop them with a pin or needle, or burst them, due to the high risk of trauma and damage to the skin.  The only safe way to remove milia is with advanced electrolysis techniques.",Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"9,402,296"
Milia removal - 30 minute follow up,90.00,30m,15m blocked time after,Default per location,"Sometimes referred to as ""whiteheads"" you should never attempt removal of these at home or allow anyone to pop them with a pin or needle, or burst them, due to the high risk of trauma and damage to the skin.  The only safe way to remove milia is with advanced electrolysis techniques.",Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"9,402,296"
Milia removal - 1st treatment,130.00,30m,15m blocked time after,Default per location,"Sometimes referred to as ""whiteheads"" you should never attempt removal of these at home or allow anyone to pop them with a pin or needle, or burst them, due to the high risk of trauma and damage to the skin.  The only safe way to remove milia is with advanced electrolysis techniques.",Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"9,402,296"
Mole  Reduction / Removal - consultation & test treatment - Consultation & test treatment,45.00,30m,15m blocked time after,Default per location,"This treatment is for the removal or reduction of raised moles only and can only be carried out with prior medical approval.

You can request medical consent forms on our website at 
 https://labellejolie.com/advanced-cosmetic-procedures.html and we will email you the forms to take to your GP.",Advanced Cosmetic Procedures,Skin Consultation,Required,Enabled,Everyone,Disabled,Enabled,"11,707,044"
Mole Reduction / Removal - 15 minute follow up treatment,60.00,15m,15m blocked time after,Default per location,"This treatment is for the removal or reduction of raised moles only and can only be carried out with prior medical approval.

You can request medical consent forms on our website at 
 https://labellejolie.com/advanced-cosmetic-procedures.html and we will email you the forms to take to your GP.",Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"11,659,500"
Mole Reduction / Removal - 30 minute follow up treatment,100.00,30m,15m blocked time after,Default per location,"This treatment is for the removal or reduction of raised moles only and can only be carried out with prior medical approval.

You can request medical consent forms on our website at 
 https://labellejolie.com/advanced-cosmetic-procedures.html and we will email you the forms to take to your GP.",Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"11,659,500"
Mole Reduction / Removal - 1st treatment,150.00,30m,15m blocked time after,Default per location,"This treatment is for the removal or reduction of raised moles only and can only be carried out with prior medical approval.

You can request medical consent forms on our website at 
 https://labellejolie.com/advanced-cosmetic-procedures.html and we will email you the forms to take to your GP.",Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"11,659,500"
Plane or Flat Wart Removal - consultation & test treatment - Consultation & test treatment,45.00,30m,15m blocked time after,Default per location,"Plane warts are typically multiple small flat-topped skin-coloured papules located most commonly on the face, hands, and shins. On the shins and beard-area of the face the virus is often spread by shaving resulting in numerous warts.",Advanced Cosmetic Procedures,Skin Consultation,Required,Enabled,Everyone,Disabled,Enabled,"11,707,127"
Plane or Flat Wart Removal - 15 minute follow up treatment,60.00,15m,15m blocked time after,Default per location,"Plane warts are typically multiple small flat-topped skin-coloured papules located most commonly on the face, hands, and shins. On the shins and beard-area of the face the virus is often spread by shaving resulting in numerous warts.",Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"11,707,278"
Plane or Flat Wart Removal - 30 minute follow up treatment,100.00,30m,15m blocked time after,Default per location,"Plane warts are typically multiple small flat-topped skin-coloured papules located most commonly on the face, hands, and shins. On the shins and beard-area of the face the virus is often spread by shaving resulting in numerous warts.",Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"11,707,278"
Plane or Flat Wart Removal - 1st treatment,150.00,30m,15m blocked time after,Default per location,"Plane warts are typically multiple small flat-topped skin-coloured papules located most commonly on the face, hands, and shins. On the shins and beard-area of the face the virus is often spread by shaving resulting in numerous warts.",Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"11,707,278"
Poikiloderma removal - consultation & test treatment,45.00,30m,15m blocked time after,Default per location,,Advanced Cosmetic Procedures,Skin Consultation,Required,Enabled,Everyone,Disabled,Enabled,"12,073,383"
Poikiloderma removal - 15 minute follow up treatment,60.00,15m,15m blocked time after,Default per location,,Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"12,073,408"
Poikiloderma removal - 30 minute follow up treatment,100.00,30m,15m blocked time after,Default per location,,Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"12,073,408"
Poikiloderma removal - 1st treatment,150.00,30m,15m blocked time after,Default per location,,Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"12,073,408"
Skin Tag removal - consultation & test treatment,45.00,30m,15m blocked time after,Default per location,"As with all the skin conditions we treat, skin tags are completely normal and can appear at any time in life.  They can appear in ones and twos or cover an extensive area, removal is simple and virtually painless.

Whilst you need to have a consultation and test treatment prior to receiving a full treatment, if you have less than three areas of treatment this may become a full removal appointment for which you will be charged the full cost of the first appointment of £130.",Advanced Cosmetic Procedures,Skin Consultation,Required,Enabled,Everyone,Disabled,Enabled,"11,663,930"
Skin Tag removal - 15 minute follow up,50.00,15m,15m blocked time after,Default per location,"As with all the skin conditions we treat, skin tags are completely normal and can appear at any time in life.  They can appear in ones and twos or cover an extensive area, removal is simple and virtually painless.",Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"9,402,310"
Skin Tag removal - 30 minute follow up,90.00,30m,15m blocked time after,Default per location,"As with all the skin conditions we treat, skin tags are completely normal and can appear at any time in life.  They can appear in ones and twos or cover an extensive area, removal is simple and virtually painless.",Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"9,402,310"
Skin Tag removal - 1st treatment,130.00,30m,15m blocked time after,Default per location,"As with all the skin conditions we treat, skin tags are completely normal and can appear at any time in life.  They can appear in ones and twos or cover an extensive area, removal is simple and virtually painless.",Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"9,402,310"
Spider Naevi removal (facial only) - consultation & test treatment,45.00,30m,15m processing time after,Default per location,"This is a superficial lesion which is usually formed of a central red area with radiating ""legs,"" these become more common as we age and the walls of our capillaries break down from primarily external factors such as exposure to sunlight and/or high winds, or for the body, standing for long periods or genetic predisposition.

Whilst you need to have a consultation and test treatment prior to receiving a full treatment, if you have less than three areas of treatment this may become a full removal appointment for which you will be charged the full cost of the first appointment of £130.",Advanced Cosmetic Procedures,Skin Consultation,Required,Enabled,Everyone,Disabled,Enabled,"11,663,977"
Spider Naevi removal - (facial only) - 15 minute follow up,50.00,15m,15m blocked time after,Default per location,"This is a superficial lesion which is usually formed of a central red area with radiating ""legs,"" these become more common as we age and the walls of our capillaries break down from primarily external factors such as exposure to sunlight and/or high winds, or for the body, standing for long periods or genetic predisposition.",Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"9,404,822"
Spider Naevi removal - (facial only) - 30 minute follow up,90.00,30m,15m blocked time after,Default per location,"This is a superficial lesion which is usually formed of a central red area with radiating ""legs,"" these become more common as we age and the walls of our capillaries break down from primarily external factors such as exposure to sunlight and/or high winds, or for the body, standing for long periods or genetic predisposition.",Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"9,404,822"
Spider Naevi removal - (facial only) - 1st treatment,130.00,30m,15m blocked time after,Default per location,"This is a superficial lesion which is usually formed of a central red area with radiating ""legs,"" these become more common as we age and the walls of our capillaries break down from primarily external factors such as exposure to sunlight and/or high winds, or for the body, standing for long periods or genetic predisposition.",Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"9,404,822"
Spider Naevi removal (body only) - consultation & test treatment,45.00,30m,15m blocked time after,Default per location,"This is a superficial lesion which is usually formed of a central red area with radiating ""legs,"" these become more common as we age and the walls of our capillaries break down from primarily external factors such as exposure to sunlight and/or high winds, or for the body, standing for long periods or genetic predisposition.

Whilst you need to have a consultation and test treatment prior to receiving a full treatment, if you have less than three areas of treatment this may become a full removal appointment for which you will be charged the full cost of the first appointment",Advanced Cosmetic Procedures,Skin Consultation,Required,Enabled,Everyone,Disabled,Enabled,"12,062,419"
Spider Naevi removal (body only) - 15 minute follow up treatment,60.00,15m,15m blocked time after,Default per location,"This is a superficial lesion which is usually formed of a central red area with radiating ""legs,"" these become more common as we age and the walls of our capillaries break down from primarily external factors such as exposure to sunlight and/or high winds, or for the body, standing for long periods or genetic predisposition.",Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"12,062,460"
Spider Naevi removal (body only) - 30 minute follow up treatment,100.00,30m,15m blocked time after,Default per location,"This is a superficial lesion which is usually formed of a central red area with radiating ""legs,"" these become more common as we age and the walls of our capillaries break down from primarily external factors such as exposure to sunlight and/or high winds, or for the body, standing for long periods or genetic predisposition.",Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"12,062,460"
Spider Naevi removal (body only) - 1st treatment,150.00,30m,15m blocked time after,Default per location,"This is a superficial lesion which is usually formed of a central red area with radiating ""legs,"" these become more common as we age and the walls of our capillaries break down from primarily external factors such as exposure to sunlight and/or high winds, or for the body, standing for long periods or genetic predisposition.",Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"12,062,460"
Thread Vein removal (facial only) - consultation & test treatment,45.00,30m,15m blocked time after,Default per location,"Also known as broken capillaries or telanciegtasia these become more common as we age, the walls of our capillaries break down from primarily external factors such as exposure to sunlight and/or high winds, or for the body, standing for long periods or genetic predisposition.

Whilst you need to have a consultation and test treatment prior to receiving a full treatment, if you have less than three areas of treatment this may become a full removal appointment for which you will be charged the full cost of the first appointment.",Advanced Cosmetic Procedures,Skin Consultation,Required,Enabled,Everyone,Disabled,Enabled,"11,664,003"
Thread Vein removal (facial only) - 15 minute follow up,50.00,15m,15m blocked time after,Default per location,"Also known as broken capillaries or telanciegtasia these become more common as we age, the walls of our capillaries break down from primarily external factors such as exposure to sunlight and/or high winds, or for the body, standing for long periods or genetic predisposition.",Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"9,402,343"
Thread Vein removal (facial only) - 30 minute follow up,90.00,30m,15m blocked time after,Default per location,"Also known as broken capillaries or telanciegtasia these become more common as we age, the walls of our capillaries break down from primarily external factors such as exposure to sunlight and/or high winds, or for the body, standing for long periods or genetic predisposition.",Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"9,402,343"
Thread Vein removal (facial only) - 1st treatment,130.00,30m,15m blocked time after,Default per location,"Also known as broken capillaries or telanciegtasia these become more common as we age, the walls of our capillaries break down from primarily external factors such as exposure to sunlight and/or high winds, or for the body, standing for long periods or genetic predisposition.",Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"9,402,343"
Thread Vein removal (body) - consultation & test treatment - consultation & test treatment,45.00,30m,15m blocked time after,Default per location,"Also known as broken capillaries or telanciegtasia these become more common as we age, the walls of our capillaries break down from primarily external factors such as exposure to sunlight and/or high winds, or for the body, standing for long periods or genetic predisposition.

Whilst you need to have a consultation and test treatment prior to receiving a full treatment, if you have less than three areas of treatment this may become a full removal appointment for which you will be charged the full cost of the first appointment.",Advanced Cosmetic Procedures,Skin Consultation,Required,Enabled,Everyone,Disabled,Enabled,"11,715,091"
Thread Vein removal (body)  - 15 minute follow up treatment,60.00,15m,15m blocked time after,Default per location,"Also known as broken capillaries or telanciegtasia these become more common as we age, the walls of our capillaries break down from primarily external factors such as exposure to sunlight and/or high winds, or for the body, standing for long periods or genetic predisposition.

Whilst you need to have a consultation and test treatment prior to receiving a full treatment, if you have less than three areas of treatment this may become a full removal appointment for which you will be charged the full cost of the first appointment.",Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"11,715,101"
Thread Vein removal (body)  - 30 minute follow up treatment,100.00,30m,15m blocked time after,Default per location,"Also known as broken capillaries or telanciegtasia these become more common as we age, the walls of our capillaries break down from primarily external factors such as exposure to sunlight and/or high winds, or for the body, standing for long periods or genetic predisposition.

Whilst you need to have a consultation and test treatment prior to receiving a full treatment, if you have less than three areas of treatment this may become a full removal appointment for which you will be charged the full cost of the first appointment.",Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"11,715,101"
Thread Vein removal (body)  - 1st treatment,150.00,30m,15m blocked time after,Default per location,"Also known as broken capillaries or telanciegtasia these become more common as we age, the walls of our capillaries break down from primarily external factors such as exposure to sunlight and/or high winds, or for the body, standing for long periods or genetic predisposition.

Whilst you need to have a consultation and test treatment prior to receiving a full treatment, if you have less than three areas of treatment this may become a full removal appointment for which you will be charged the full cost of the first appointment.",Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"11,715,101"
Sebaceous Hyperplasia Removal - consultation & test treatment - Consultation & test treatment,45.00,30m,15m blocked time after,Default per location,Sebaceous hyperplasia are enlarged sebaceous glands generally seen on the forehead or cheeks which are more prevalent from middle age. It is a harmless condition which is easily removed.,Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"11,707,304"
Sebaceous Hyperplasia Removal - 15 minute follow up treatment,60.00,15m,15m blocked time after,Default per location,Sebaceous hyperplasia are enlarged sebaceous glands generally seen on the forehead or cheeks which are more prevalent from middle age. It is a harmless condition which is easily removed.,Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"11,714,862"
